Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P22.5_E30_S200_PosEL_H125,30,22.5,200,EL,2.75301,0.626736,20.25,3.15,0.87
P22.5_E30_S200_PosIL_H125,30,22.5,200,IL,2.03851,0.444248,20.25,3.15,0.65
P22.5_E30_S225_PosCL_H125,30,22.5,225,CL,0.956046,1.08203,20.25,3.15,0.30
P22.5_E30_S225_PosEL_H125,30,22.5,225,EL,2.73785,0.625632,20.25,3.15,0.87
P22.5_E30_S225_PosIL_H125,30,22.5,225,IL,2.02683,0.443853,20.25,3.15,0.64
P22.5_E30_S250_PosCL_H125,30,22.5,250,CL,0.952323,1.07065,20.25,3.15,0.30
P22.5_E30_S250_PosEL_H125,30,22.5,250,EL,2.72294,0.624543,20.25,3.15,0.86
P22.5_E30_S250_PosIL_H125,30,22.5,250,IL,2.01534,0.443464,20.25,3.15,0.64
P22.5_E30_S275_PosCL_H125,30,22.5,275,CL,0.94872,1.05971,20.25,3.15,0.30
P22.5_E30_S275_PosEL_H125,30,22.5,275,EL,2.70828,0.62347,20.25,3.15,0.86
P22.5_E30_S275_PosIL_H125,30,22.5,275,IL,2.00404,0.44308,20.25,3.15,0.64
P22.5_E30_S300_PosCL_H125,30,22.5,300,CL,0.945228,1.04918,20.25,3.15,0.30
P22.5_E30_S300_PosEL_H125,30,22.5,300,EL,2.69387,0.622412,20.25,3.15,0.86
P22.5_E30_S300_PosIL_H125,30,22.5,300,IL,1.99293,0.442701,20.25,3.15,0.63
P25_E30_S200_PosCL_H125,30,25,200,CL,1.03041,1.19156,25,3.5,0.29
P25_E30_S200_PosEL_H125,30,25,200,EL,2.94023,0.660821,25,3.5,0.84
P25_E30_S200_PosIL_H125,30,25,200,IL,2.22759,0.440556,25,3.5,0.64
P25_E30_S225_PosCL_H125,30,25,225,CL,1.02609,1.17892,25,3.5,0.29
P25_E30_S225_PosEL_H125,30,25,225,EL,2.92365,0.659568,25,3.5,0.84
P25_E30_S225_PosIL_H125,30,25,225,IL,2.21473,0.440227,25,3.5,0.63
P25_E30_S250_PosCL_H125,30,25,250,CL,1.02191,1.16677,25,3.5,0.29
P25_E30_S250_PosEL_H125,30,25,250,EL,2.90735,0.658333,25,3.5,0.83
P25_E30_S250_PosIL_H125,30,25,250,IL,2.20208,0.439903,25,3.5,0.63
P25_E30_S275_PosCL_H125,30,25,275,CL,1.01785,1.15509,25,3.5,0.29
P25_E30_S275_PosEL_H125,30,25,275,EL,2.89133,0.657116,25,3.5,0.83
P25_E30_S275_PosIL_H125,30,25,275,IL,2.18965,0.439584,25,3.5,0.63
P25_E30_S300_PosCL_H125,30,25,300,CL,1.01392,1.14385,25,3.5,0.29
P25_E30_S300_PosEL_H125,30,25,300,EL,2.87558,0.655914,25,3.5,0.82
P25_E30_S300_PosIL_H125,30,25,300,IL,2.17742,0.43927,25,3.5,0.62
