,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
200,P27.5_E30_S225_PosIL_H60,30,27.5,225,IL,7.78369,0.735126,36,4.2,1.85
201,P27.5_E30_S250_PosCL_H60,30,27.5,250,CL,4.33058,2.6141,36,4.2,1.03
202,P27.5_E30_S250_PosEL_H60,30,27.5,250,EL,10.0485,1.60615,36,4.2,2.39
203,P27.5_E30_S250_PosIL_H60,30,27.5,250,IL,7.58349,0.729284,36,4.2,1.81
204,P27.5_E30_S275_PosCL_H60,30,27.5,275,CL,4.30201,2.54055,36,4.2,1.02
205,P27.5_E30_S275_PosEL_H60,30,27.5,275,EL,9.80984,1.58986,36,4.2,2.34
206,P27.5_E30_S275_PosIL_H60,30,27.5,275,IL,7.39955,0.723828,36,4.2,1.76
207,P27.5_E30_S300_PosCL_H60,30,27.5,300,CL,4.27602,2.47444,36,4.2,1.02
208,P27.5_E30_S300_PosEL_H60,30,27.5,300,EL,9.58905,1.57574,36,4.2,2.28
209,P27.5_E30_S300_PosIL_H60,30,27.5,300,IL,7.22989,0.718945,36,4.2,1.72
210,P30_E30_S200_PosCL_H60,30,30,200,CL,4.6955,2.73809,36,4.2,1.12
211,P30_E30_S200_PosEL_H60,30,30,200,EL,11.1162,1.72607,36,4.2,2.65
212,P30_E30_S200_PosIL_H60,30,30,200,IL,8.5918,0.773991,36,4.2,2.05
213,P30_E30_S225_PosCL_H60,30,30,225,CL,4.65148,2.64699,36,4.2,1.11
214,P30_E30_S225_PosEL_H60,30,30,225,EL,10.8112,1.70666,36,4.2,2.57
215,P30_E30_S225_PosIL_H60,30,30,225,IL,8.34957,0.768736,36,4.2,1.99
216,P30_E30_S250_PosCL_H60,30,30,250,CL,4.61198,2.56657,36,4.2,1.10
217,P30_E30_S250_PosEL_H60,30,30,250,EL,10.5314,1.68856,36,4.2,2.51
218,P30_E30_S250_PosIL_H60,30,30,250,IL,8.12792,0.763859,36,4.2,1.94
219,P30_E30_S275_PosCL_H60,30,30,275,CL,4.57625,2.4949,36,4.2,1.09
220,P30_E30_S275_PosEL_H60,30,30,275,EL,10.2737,1.6716,36,4.2,2.45
221,P30_E30_S275_PosIL_H60,30,30,275,IL,7.9247,0.759314,36,4.2,1.89
222,P30_E30_S300_PosCL_H60,30,30,300,CL,4.54366,2.43047,36,4.2,1.08
223,P30_E30_S300_PosEL_H60,30,30,300,EL,10.0354,1.65567,36,4.2,2.39
224,P30_E30_S300_PosIL_H60,30,30,300,IL,7.73902,0.755059,36,4.2,1.84
225,P20_E35_S200_PosCL_H60,35,20,200,CL,3.63062,2.4611,49,4.9,0.74
226,P20_E35_S200_PosEL_H60,35,20,200,EL,9.00275,1.43782,49,4.9,1.84
227,P20_E35_S200_PosIL_H60,35,20,200,IL,6.48782,0.653372,49,4.9,1.32
228,P20_E35_S225_PosCL_H60,35,20,225,CL,3.60313,2.38618,49,4.9,0.74
229,P20_E35_S225_PosEL_H60,35,20,225,EL,8.796,1.42332,49,4.9,1.80
230,P20_E35_S225_PosIL_H60,35,20,225,IL,6.33268,0.649046,49,4.9,1.29
231,P20_E35_S250_PosCL_H60,35,20,250,CL,3.57918,2.31962,49,4.9,0.73
232,P20_E35_S250_PosEL_H60,35,20,250,EL,8.6049,1.40971,49,4.9,1.76
233,P20_E35_S250_PosIL_H60,35,20,250,IL,6.18972,0.644998,49,4.9,1.26
234,P20_E35_S275_PosCL_H60,35,20,275,CL,3.55812,2.25996,49,4.9,0.73
235,P20_E35_S275_PosEL_H60,35,20,275,EL,8.4276,1.3969,49,4.9,1.72
236,P20_E35_S275_PosIL_H60,35,20,275,IL,6.0575,0.641196,49,4.9,1.24
237,P20_E35_S300_PosCL_H60,35,20,300,CL,3.53946,2.20608,49,4.9,0.72
238,P20_E35_S300_PosEL_H60,35,20,300,EL,8.26253,1.38481,49,4.9,1.69
239,P20_E35_S300_PosIL_H60,35,20,300,IL,5.93481,0.637617,49,4.9,1.21
240,P22.5_E35_S200_PosCL_H60,35,22.5,200,CL,3.90299,2.46251,49,4.9,0.80
241,P22.5_E35_S200_PosEL_H60,35,22.5,200,EL,9.75324,1.50753,49,4.9,1.99
242,P22.5_E35_S200_PosIL_H60,35,22.5,200,IL,7.13535,0.682685,49,4.9,1.46
243,P22.5_E35_S225_PosCL_H60,35,22.5,225,CL,3.87468,2.38354,49,4.9,0.79
244,P22.5_E35_S225_PosEL_H60,35,22.5,225,EL,9.52324,1.49481,49,4.9,1.94
245,P22.5_E35_S225_PosIL_H60,35,22.5,225,IL,6.96056,0.677885,49,4.9,1.42
