Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
75,35,25,200,CL,0.57
75,35,25,200,EL,1.51
75,35,25,200,IL,1.14
75,35,25,225,CL,0.56
75,35,25,225,EL,1.48
75,35,25,225,IL,1.12
75,35,25,250,CL,0.56
75,35,25,250,EL,1.46
75,35,25,250,IL,1.1
75,35,25,275,CL,0.55
75,35,25,275,EL,1.44
75,35,25,275,IL,1.08
75,35,25,300,CL,0.55
75,35,25,300,EL,1.42
75,35,25,300,IL,1.07
75,35,27.5,200,CL,0.61
75,35,27.5,200,EL,1.6
75,35,27.5,200,IL,1.22
75,35,27.5,225,CL,0.61
75,35,27.5,225,EL,1.57
75,35,27.5,225,IL,1.2
75,35,27.5,250,CL,0.6
75,35,27.5,250,EL,1.55
75,35,27.5,250,IL,1.18
75,35,27.5,275,CL,0.6
75,35,27.5,275,EL,1.52
75,35,27.5,275,IL,1.16
75,35,27.5,300,CL,0.59
75,35,27.5,300,EL,1.5
75,35,27.5,300,IL,1.14
75,35,30,200,CL,0.65
75,35,30,200,EL,1.69
75,35,30,200,IL,1.31
75,35,30,225,CL,0.64
75,35,30,225,EL,1.66
75,35,30,225,IL,1.29
75,35,30,250,CL,0.64
75,35,30,250,EL,1.63
75,35,30,250,IL,1.27
75,35,30,275,CL,0.64
75,35,30,275,EL,1.61
75,35,30,275,IL,1.25
75,35,30,300,CL,0.63
75,35,30,300,EL,1.58
75,35,30,300,IL,1.23
100,20,20,200,CL,0.48
100,20,20,200,EL,1.32
100,20,20,200,IL,0.96
100,20,20,225,CL,0.48
100,20,20,225,EL,1.3
100,20,20,225,IL,0.95
100,20,20,250,CL,0.48
100,20,20,250,EL,1.28
100,20,20,250,IL,0.93
100,20,20,275,CL,0.48
100,20,20,275,EL,1.27
100,20,20,275,IL,0.92
100,20,20,300,CL,0.47
100,20,20,300,EL,1.25
100,20,20,300,IL,0.91
100,20,22.5,200,CL,0.52
100,20,22.5,200,EL,1.44
100,20,22.5,200,IL,1.06
100,20,22.5,225,CL,0.52
100,20,22.5,225,EL,1.42
100,20,22.5,225,IL,1.05
100,20,22.5,250,CL,0.52
100,20,22.5,250,EL,1.4
100,20,22.5,250,IL,1.03
100,20,22.5,275,CL,0.51
100,20,22.5,275,EL,1.38
100,20,22.5,275,IL,1.02
100,20,22.5,300,CL,0.51
100,20,22.5,300,EL,1.36
100,20,22.5,300,IL,1.01
100,20,25,200,CL,0.56
100,20,25,200,EL,1.53
100,20,25,200,IL,1.16
100,20,25,225,CL,0.56
100,20,25,225,EL,1.51
